 VARIABLES = X, Y, u, v
I= 71, J= 39
 0.00000000E+00 -9.49012463E+00 -1.59200814E-02  2.04035807E-03
 9.59131400E-01 -9.49012463E+00 -1.35165021E-02 -1.65816167E-04
 1.91826280E+00 -9.49012463E+00 -1.25479902E-02  7.37269576E-04
 2.87739420E+00 -9.49012463E+00 -2.18352127E-02  2.12320114E-03
 3.83652560E+00 -9.49012463E+00 -2.23160041E-02  5.06708809E-04
 4.79565700E+00 -9.49012463E+00 -1.78033229E-02  2.33355494E-04
 5.75478840E+00 -9.49012463E+00 -1.54986220E-02  1.22758641E-03
 6.71391990E+00 -9.49012463E+00 -1.18695894E-02  7.12921051E-04
 7.67305130E+00 -9.49012463E+00 -1.06814750E-02 -2.82983461E-04
 8.63218270E+00 -9.49012463E+00 -1.11671888E-02  4.71191582E-06
 9.59131410E+00 -9.49012463E+00 -1.43141458E-02 -2.54525554E-04
 1.05504455E+01 -9.49012463E+00 -1.17744020E-02 -1.15173888E-03
 1.15095769E+01 -9.49012463E+00 -2.32581515E-02 -1.49869039E-06
 1.24687083E+01 -9.49012463E+00 -2.56590369E-02 -7.52164473E-04
 1.34278397E+01 -9.49012463E+00 -2.67430950E-02 -4.47986417E-03
 1.43869712E+01 -9.49012463E+00 -3.72463036E-02  2.96618230E-04
 1.53461026E+01 -9.49012463E+00 -1.36192558E-02 -8.90315170E-04
 1.63052340E+01 -9.49012463E+00  3.16546186E-03 -2.05463192E-03
 1.72643654E+01 -9.49012463E+00  2.56450564E-03 -1.75903690E-03
 1.82234968E+01 -9.49012463E+00 -2.28841338E-03  3.39302005E-03
 1.91826282E+01 -9.49012463E+00 -7.64647037E-04  4.18173678E-03
 2.01417596E+01 -9.49012463E+00 -4.66599143E-03  9.78974137E-03
 2.11008911E+01 -9.49012463E+00 -5.88580160E-02  1.91158493E-02
 2.20600225E+01 -9.49012463E+00 -1.38308328E-01  1.91680851E-02
 2.30191539E+01 -9.49012463E+00 -1.82891872E-01  3.62415433E-02
 2.39782853E+01 -9.49012463E+00 -2.04696706E-01  2.14743385E-02
 2.49374167E+01 -9.49012463E+00 -2.06852307E-01  4.11022856E-03
 2.58965481E+01 -9.49012463E+00 -2.13464246E-01  3.33412257E-03
 2.68556795E+01 -9.49012463E+00 -2.06965986E-01  6.77205400E-04
 2.78148109E+01 -9.49012463E+00 -2.00016627E-01 -5.44883377E-03
 2.87739424E+01 -9.49012463E+00 -1.90320067E-01 -1.93256409E-02
 2.97330738E+01 -9.49012463E+00 -1.33753018E-01 -2.05916379E-02
 3.06922052E+01 -9.49012463E+00 -1.05736907E-01 -1.30598055E-02
 3.16513366E+01 -9.49012463E+00 -8.09492244E-02 -1.30444475E-02
 3.26104680E+01 -9.49012463E+00 -5.84345101E-02 -6.58972174E-03
 3.35695994E+01 -9.49012463E+00 -3.70119022E-02 -8.32094576E-03
 3.45287308E+01 -9.49012463E+00 -3.55837260E-03 -6.97104159E-03
 3.54878622E+01 -9.49012463E+00  1.09326453E-02 -4.00192491E-03
 3.64469937E+01 -9.49012463E+00  1.79717692E-02 -3.11650823E-03
 3.74061251E+01 -9.49012463E+00  1.96240968E-02  2.64565896E-03
 3.83652565E+01 -9.49012463E+00  2.86532841E-02  2.63076640E-03
 3.93243879E+01 -9.49012463E+00  1.94242834E-02 -9.91792137E-04
 4.02835193E+01 -9.49012463E+00  1.64252024E-02 -3.94740020E-04
 4.12426507E+01 -9.49012463E+00  7.72122883E-03  2.94490953E-03
 4.22017821E+01 -9.49012463E+00 -2.12891749E-03  3.60277707E-03
 4.31609136E+01 -9.49012463E+00 -1.99161839E-02  3.83528630E-03
 4.41200450E+01 -9.49012463E+00 -3.06304366E-02 -2.02801985E-03
 4.50791764E+01 -9.49012463E+00 -4.91765089E-02 -6.75353319E-03
 4.60383078E+01 -9.49012463E+00 -4.68908807E-02 -4.06294049E-03
 4.69974392E+01 -9.49012463E+00 -2.55673992E-02 -3.71227719E-03
 4.79565706E+01 -9.49012463E+00 -5.27720220E-02  3.51178483E-03
 4.89157020E+01 -9.49012463E+00 -1.84443630E-01  4.37975187E-02
 4.98748334E+01 -9.49012463E+00 -2.30149788E-01  3.38191640E-02
 5.08339649E+01 -9.49012463E+00 -3.18778300E-01 -1.54174471E-02
 5.17930963E+01 -9.49012463E+00 -2.67247080E-01 -4.40880604E-02
 5.27522277E+01 -9.49012463E+00 -2.30741429E-01 -5.72081562E-03
 5.37113591E+01 -9.49012463E+00 -2.30075532E-01  1.15829347E-02
 5.46704905E+01 -9.49012463E+00 -2.58607681E-01 -3.85746974E-03
 5.56296219E+01 -9.49012463E+00 -2.23413474E-01  8.77285028E-03
 5.65887533E+01 -9.49012463E+00 -3.17971110E-01  1.43819717E-02
